ind,ab_trt,temp_trt,size_begin,size_end
1,AZT,19C,1.334,3.63
2,AZT,19C,1.31,3.516
3,AZT,19C,1.157,3.595
4,AZT,19C,0.947,3.998
5,AZT,19C,1.445,3.901
6,AZT,19C,1.183,3.499
7,AZT,19C,1.249,3.688
8,AZT,19C,1.332,3.562
10,AZT,19C,0.86,3.688
11,AZT,19C,1.351,3.775
12,AZT,19C,1.369,3.885
13,AZT,19C,1.019,3.936
14,AZT,19C,1.387,3.599
15,AZT,19C,1.316,3.831
16,AZT,19C,0.856,3.822
17,AZT,19C,1.354,3.736
18,AZT,19C,1.032,3.618
19,AZT,19C,0.903,3.817
20,AZT,19C,1.193,3.688
21,AZT,19C,1.145,3.506
22,AZT,19C,1.273,3.879
23,AZT,19C,1.295,3.697
25,AZT,19C,1.331,3.419
26,AZT,19C,0.992,3.593
27,AZT,19C,1.228,3.682
28,AZT,19C,1.311,3.846
29,AZT,19C,1.442,3.947
30,AZT,19C,1.352,3.644
32,AZT,19C,0.844,3.733
33,AZT,19C,1.182,3.55
35,AZT,19C,1.232,3.672
37,AZT,19C,1.497,3.626
38,AZT,19C,0.951,3.918
39,AZT,19C,0.948,3.923
40,AZT,19C,1.21,3.405
41,AZT,19C,1.488,3.953
42,AZT,19C,1.433,3.799
43,AZT,19C,1.53,3.875
44,AZT,19C,0.9,3.667
45,AZT,19C,1.262,3.513
46,AZT,19C,0.997,3.765
47,AZT,19C,1.19,3.323
48,AZT,19C,0.844,3.31
1,SFX,11C,1.198,3.44
2,SFX,11C,1.249,3.315
3,SFX,11C,0.779,3.513
4,SFX,11C,1.488,3.229
5,SFX,11C,0.948,3.061
6,SFX,11C,0.801,3.421
7,SFX,11C,0.969,2.856
8,SFX,11C,0.947,3.215
9,SFX,11C,1.135,3.387
10,SFX,11C,1.415,3.377
11,SFX,11C,0.817,3.498
12,SFX,11C,1.142,2.156
13,SFX,11C,1.24,3.127
14,SFX,11C,0.929,3.116
15,SFX,11C,0.858,2.844
16,SFX,11C,1.127,3.346
17,SFX,11C,1.098,2.133
18,SFX,11C,0.864,2.785
19,SFX,11C,0.962,2.887
20,SFX,11C,1.206,3.43
21,SFX,11C,1.199,3.267
22,SFX,11C,0.924,3.25
23,SFX,11C,1.326,3.232
24,SFX,11C,1.088,3.279
25,SFX,11C,1.101,3.377
26,SFX,11C,1.126,2.949
27,SFX,11C,1.331,3.191
28,SFX,11C,0.878,2.815
29,SFX,11C,1.215,3.476
30,SFX,11C,1.379,3.166
