ind,ab_trt,temp_trt,status,time
1,NONE,19C,0,21
2,NONE,19C,0,21
3,NONE,19C,0,21
4,NONE,19C,0,21
5,NONE,19C,0,21
6,NONE,19C,0,21
7,NONE,19C,0,21
8,NONE,19C,0,21
9,NONE,19C,0,21
10,NONE,19C,0,21
11,NONE,19C,0,21
12,NONE,19C,0,21
13,NONE,19C,0,21
14,NONE,19C,0,21
15,NONE,19C,0,21
16,NONE,19C,0,21
17,NONE,19C,0,21
18,NONE,19C,0,21
19,NONE,19C,0,21
20,NONE,19C,0,21
21,NONE,19C,0,21
22,NONE,19C,0,21
23,NONE,19C,0,21
24,NONE,19C,0,21
25,NONE,19C,0,21
26,NONE,19C,0,21
27,NONE,19C,0,21
28,NONE,19C,0,21
29,NONE,19C,0,21
30,NONE,19C,0,21
31,NONE,19C,0,21
32,NONE,19C,0,21
33,NONE,19C,0,21
34,NONE,19C,0,21
35,NONE,19C,0,21
36,NONE,19C,0,21
37,NONE,19C,0,21
38,NONE,19C,0,21
39,NONE,19C,0,21
40,NONE,19C,0,21
41,NONE,19C,0,21
42,NONE,19C,0,21
43,NONE,19C,0,21
44,NONE,19C,1,7
45,NONE,19C,1,7
46,NONE,19C,1,8
47,NONE,19C,1,14
48,NONE,19C,1,16
1,NONE,19C,0,21
2,NONE,19C,0,21
3,NONE,19C,0,21
4,NONE,19C,0,21
5,NONE,19C,0,21
6,NONE,19C,0,21
7,NONE,19C,0,21
8,NONE,19C,0,21
9,NONE,19C,0,21
10,NONE,19C,0,21
11,NONE,19C,0,21
12,NONE,19C,0,21
13,NONE,19C,0,21
14,NONE,19C,0,21
15,NONE,19C,0,21
16,NONE,19C,0,21
17,NONE,19C,0,21
18,NONE,19C,0,21
19,NONE,19C,0,21
20,NONE,19C,0,21
21,NONE,19C,0,21
22,NONE,19C,0,21
23,NONE,19C,0,21
24,NONE,19C,0,21
25,NONE,19C,0,21
26,NONE,19C,0,21
27,NONE,19C,0,21
28,NONE,19C,0,21
29,NONE,19C,0,21
30,NONE,19C,0,21
31,NONE,19C,0,21
32,NONE,19C,0,21
33,NONE,19C,0,21
34,NONE,19C,0,21
35,NONE,19C,0,21
36,NONE,19C,0,21
37,NONE,19C,0,21
38,NONE,19C,0,21
39,NONE,19C,0,21
40,NONE,19C,0,21
41,NONE,19C,0,21
42,NONE,19C,0,21
43,NONE,19C,0,21
44,NONE,19C,0,21
45,NONE,19C,0,21
46,NONE,19C,1,9
47,NONE,19C,1,11
48,NONE,19C,1,17
1,NONE,11C,0,21
2,NONE,11C,0,21
3,NONE,11C,0,21
4,NONE,11C,0,21
5,NONE,11C,0,21
6,NONE,11C,0,21
7,NONE,11C,0,21
8,NONE,11C,0,21
9,NONE,11C,0,21
10,NONE,11C,0,21
11,NONE,11C,0,21
12,NONE,11C,0,21
13,NONE,11C,0,21
14,NONE,11C,0,21
15,NONE,11C,0,21
16,NONE,11C,0,21
17,NONE,11C,0,21
18,NONE,11C,0,21
19,NONE,11C,0,21
20,NONE,11C,0,21
21,NONE,11C,0,21
22,NONE,11C,0,21
23,NONE,11C,0,21
24,NONE,11C,0,21
25,NONE,11C,0,21
26,NONE,11C,0,21
27,NONE,11C,0,21
28,NONE,11C,0,21
29,NONE,11C,0,21
30,NONE,11C,0,21
31,NONE,11C,0,21
32,NONE,11C,0,21
33,NONE,11C,0,21
34,NONE,11C,0,21
35,NONE,11C,0,21
36,NONE,11C,0,21
37,NONE,11C,0,21
38,NONE,11C,0,21
39,NONE,11C,0,21
40,NONE,11C,0,21
41,NONE,11C,0,21
42,NONE,11C,0,21
43,NONE,11C,0,21
44,NONE,11C,0,21
45,NONE,11C,0,21
46,NONE,11C,1,9
47,NONE,11C,1,17
48,NONE,11C,1,19
1,AZT,19C,0,21
2,AZT,19C,0,21
3,AZT,19C,0,21
4,AZT,19C,0,21
5,AZT,19C,0,21
6,AZT,19C,0,21
7,AZT,19C,0,21
8,AZT,19C,0,21
9,AZT,19C,0,21
10,AZT,19C,0,21
11,AZT,19C,0,21
12,AZT,19C,0,21
13,AZT,19C,0,21
14,AZT,19C,0,21
15,AZT,19C,0,21
16,AZT,19C,0,21
17,AZT,19C,0,21
18,AZT,19C,0,21
19,AZT,19C,0,21
20,AZT,19C,0,21
21,AZT,19C,0,21
22,AZT,19C,0,21
23,AZT,19C,0,21
24,AZT,19C,0,21
25,AZT,19C,0,21
26,AZT,19C,0,21
27,AZT,19C,0,21
28,AZT,19C,0,21
29,AZT,19C,0,21
30,AZT,19C,0,21
31,AZT,19C,0,21
32,AZT,19C,0,21
33,AZT,19C,0,21
34,AZT,19C,0,21
35,AZT,19C,0,21
36,AZT,19C,0,21
37,AZT,19C,0,21
38,AZT,19C,0,21
39,AZT,19C,0,21
40,AZT,19C,0,21
41,AZT,19C,0,21
42,AZT,19C,0,21
43,AZT,19C,1,5
44,AZT,19C,1,5
45,AZT,19C,1,6
46,AZT,19C,1,6
47,AZT,19C,1,13
48,AZT,19C,1,13
1,AZT,19C,0,21
2,AZT,19C,0,21
3,AZT,19C,0,21
4,AZT,19C,0,21
5,AZT,19C,0,21
6,AZT,19C,0,21
7,AZT,19C,0,21
8,AZT,19C,0,21
9,AZT,19C,0,21
10,AZT,19C,0,21
11,AZT,19C,0,21
12,AZT,19C,0,21
13,AZT,19C,0,21
14,AZT,19C,0,21
15,AZT,19C,0,21
16,AZT,19C,0,21
17,AZT,19C,0,21
18,AZT,19C,0,21
19,AZT,19C,0,21
20,AZT,19C,0,21
21,AZT,19C,0,21
22,AZT,19C,0,21
23,AZT,19C,0,21
