ab,ind,day,cumsum
AZT,49,11,18
ERY,49,13,15
ALL,49,12,16
SFX,49,11,15
AZT,50,12,13
NONE,50,13,9
ERY,50,13,17
ALL,50,11,16
SFX,50,13,17
AZT,51,13,14
NONE,51,11,18
ERY,51,13,19
ALL,51,13,14
SFX,51,13,20
NONE,52,11,14
ERY,52,13,17
ALL,52,12,12
SFX,52,13,23
AZT,53,13,20
NONE,53,13,15
ERY,53,13,13
ALL,53,15,6
SFX,53,12,14
AZT,54,13,20
NONE,54,12,19
ERY,54,15,16
ALL,54,11,20
AZT,55,13,8
NONE,55,12,19
ERY,55,12,19
ALL,55,12,16
SFX,55,15,9
AZT,56,12,14
NONE,56,12,16
ERY,56,12,22
ALL,56,13,12
SFX,56,13,25
AZT,57,15,8
NONE,57,13,14
ERY,57,13,15
ALL,57,13,5
SFX,57,14,15
AZT,58,15,14
NONE,58,11,15
ERY,58,13,22
ALL,58,13,8
SFX,58,12,14
AZT,59,12,16
NONE,59,13,16
ERY,59,13,14
ALL,59,13,11
SFX,59,13,14
AZT,60,13,19
NONE,60,11,12
ERY,60,13,19
ALL,60,13,14
SFX,60,16,15
AZT,61,13,11
NONE,61,13,19
ERY,61,14,17
SFX,61,11,12
AZT,62,11,17
NONE,62,12,18
ERY,62,12,18
ALL,62,14,20
SFX,62,21,23
AZT,63,14,19
NONE,63,13,15
ERY,63,13,12
ALL,63,13,12
SFX,63,12,15
AZT,64,13,11
NONE,64,13,19
ERY,64,14,20
ALL,64,14,18
SFX,64,13,20
AZT,65,12,21
NONE,65,11,17
ERY,65,12,16
SFX,65,13,17
AZT,66,13,9
NONE,66,12,23
ERY,66,13,18
ALL,66,13,13
SFX,66,12,17
AZT,67,13,12
NONE,67,13,18
ERY,67,13,14
ALL,67,11,10
SFX,67,13,16
AZT,68,11,11
NONE,68,11,12
ERY,68,14,16
ALL,68,14,14
SFX,68,13,23
AZT,69,13,22
NONE,69,15,19
ERY,69,13,14
ALL,69,11,14
SFX,69,13,17
AZT,70,13,17
NONE,70,12,18
ERY,70,13,26
SFX,70,15,9
AZT,71,13,23
NONE,71,13,18
ERY,71,13,16
ALL,71,13,17
SFX,71,13,13
AZT,72,11,12
NONE,72,13,22
ERY,72,12,21
ALL,72,13,16
SFX,72,13,11
AZT,73,12,16
NONE,73,11,8
ERY,73,13,14
ALL,73,13,17
SFX,73,20,16
AZT,74,13,13
NONE,74,12,22
ERY,74,13,13
ALL,74,11,19
SFX,74,13,16
AZT,75,13,21
NONE,75,13,18
ERY,75,14,16
ALL,75,13,15
SFX,75,13,16
AZT,76,13,14
NONE,76,13,12
ERY,76,13,13
ALL,76,13,12
SFX,76,21,20
AZT,77,13,16
NONE,77,13,12
ERY,77,13,16
ALL,77,13,17
SFX,77,13,25
AZT,78,12,12
ERY,78,12,21
ALL,78,11,17
SFX,78,13,15
AZT,79,11,6
NONE,79,11,16
ERY,79,14,14
SFX,79,12,9
AZT,80,13,17
NONE,80,15,20
ERY,80,13,20
ALL,80,12,13
SFX,80,15,17
AZT,81,13,20
NONE,81,13,16
ERY,81,13,15
ALL,81,15,15
SFX,81,12,15
NONE,82,13,16
ERY,82,13,11
ALL,82,13,16
SFX,82,15,20
AZT,83,13,12
AZT,83,21,38
NONE,83,12,17
ERY,83,14,19
ALL,83,13,11
SFX,83,15,16
NONE,84,13,15
ERY,84,12,21
ALL,84,13,8
SFX,84,13,16
AZT,85,13,18
ERY,85,13,17
ALL,85,13,2
SFX,85,17,14
AZT,86,13,11
NONE,86,13,16
ERY,86,13,13
ALL,86,13,14
SFX,86,13,18
AZT,87,12,13
NONE,87,13,14
ERY,87,16,15
SFX,87,13,15
AZT,88,13,16
NONE,88,13,14
ERY,88,13,16
ALL,88,14,12
AZT,89,13,14
NONE,89,11,12
ERY,89,12,16
ALL,89,13,8
SFX,89,14,19
AZT,90,13,13
NONE,90,13,9
ERY,90,15,8
ALL,90,14,15
SFX,90,13,13
AZT,91,13,17
NONE,91,13,21
ERY,91,13,9
ALL,91,13,14
SFX,91,13,14
AZT,92,13,18
NONE,92,12,21
ERY,92,12,23
ALL,92,13,13
SFX,92,13,3
AZT,93,13,17
NONE,93,12,17
ERY,93,11,15
ALL,93,13,12
SFX,93,13,19
AZT,94,13,16
NONE,94,11,15
ERY,94,12,24
SFX,94,14,15
AZT,95,12,19
AZT,95,21,52
NONE,95,11,8
ERY,95,13,15
ALL,95,13,12
SFX,95,13,13
AZT,96,13,19
NONE,96,13,7
ERY,96,13,12
ALL,96,12,15
