"","term","group1","group2","null.value","estimate","conf.low","conf.high","p.adj","p.adj.signif"
"1","ab","ALL","AZT",0,-1.67889325145471,-6.45194269819283,3.09415619528342,0.845,"ns"
"2","ab","ALL","ERY",0,-1.79650938908273,-5.90316230336802,2.31014352520256,0.713,"ns"
"3","ab","ALL","NONE",0,-4.84401564686943,-9.26300076186785,-0.425030531871021,0.0261,"*"
"4","ab","ALL","SFX",0,-0.350552790284112,-4.76953790528253,4.0684323247143,0.999,"ns"
"5","ab","AZT","ERY",0,-0.117616137628019,-4.60305588561678,4.36782361036074,1,"ns"
"6","ab","AZT","NONE",0,-3.16512239541473,-7.93817184215285,1.6079270513234,0.329,"ns"
"7","ab","AZT","SFX",0,1.3283404611706,-3.44470898556753,6.10138990790872,0.927,"ns"
"8","ab","ERY","NONE",0,-3.04750625778671,-7.154159172072,1.05914665649859,0.226,"ns"
"9","ab","ERY","SFX",0,1.44595659879862,-2.66069631548668,5.55260951308391,0.845,"ns"
"10","ab","NONE","SFX",0,4.49346285658532,0.0744777415869082,8.91244797158373,0.0447,"*"
"11","temp","11C","19C",0,-0.870064397318211,-2.82958704939179,1.08945825475537,0.372,"ns"
"12","ab:temp","ALL:11C","AZT:11C",0,-9.15280208026991,-20.7684160904622,2.46281192992242,0.225,"ns"
"13","ab:temp","ALL:11C","ERY:11C",0,-2.98606405981541,-9.69234193540274,3.72021381577192,0.876,"ns"
"14","ab:temp","ALL:11C","NONE:11C",0,-8.39394608721729,-15.7403054259313,-1.04758674850329,0.0154,"*"
"15","ab:temp","ALL:11C","SFX:11C",0,0.679191699548957,-7.25578329237313,8.61416669147104,1,"ns"
"16","ab:temp","ALL:11C","ALL:19C",0,-3.83413927219237,-11.1804986109064,3.51222006652164,0.744,"ns"
"17","ab:temp","ALL:11C","AZT:19C",0,-2.48459504900709,-9.45396345512249,4.48477335710831,0.965,"ns"
"18","ab:temp","ALL:11C","ERY:19C",0,-4.58659698361511,-11.5559653897305,2.38277142250028,0.453,"ns"
"19","ab:temp","ALL:11C","NONE:19C",0,-5.12822447871395,-12.474583817428,2.21813486000006,0.373,"ns"
"20","ab:temp","ALL:11C","SFX:19C",0,-4.03571090193785,-11.0050793080532,2.93365750417755,0.624,"ns"
"21","ab:temp","AZT:11C","ERY:11C",0,6.16673802045449,-5.05501123021306,17.3884872711221,0.688,"ns"
"22","ab:temp","AZT:11C","NONE:11C",0,0.758855993052616,-10.8567580171397,12.3744700032449,1,"ns"
"23","ab:temp","AZT:11C","SFX:11C",0,9.83199377981887,-2.16456078483405,21.8285483444718,0.184,"ns"
"24","ab:temp","AZT:11C","ALL:19C",0,5.31866280807754,-6.29695120211479,16.9342768182699,0.857,"ns"
"25","ab:temp","AZT:11C","AZT:19C",0,6.66820703126282,-4.71272391837506,18.0491379809007,0.609,"ns"
"26","ab:temp","AZT:11C","ERY:19C",0,4.56620509665479,-6.81472585298308,15.9471360462927,0.929,"ns"
"27","ab:temp","AZT:11C","NONE:19C",0,4.02457760155596,-7.59103640863637,15.6401916117483,0.97,"ns"
"28","ab:temp","AZT:11C","SFX:19C",0,5.11709117833206,-6.26383977130582,16.4980221279699,0.87,"ns"
"29","ab:temp","ERY:11C","NONE:11C",0,-5.40788202740188,-12.1141599029892,1.29839584818545,0.2,"ns"
"30","ab:temp","ERY:11C","SFX:11C",0,3.66525575936437,-3.68110357934964,11.0116150980784,0.788,"ns"
"31","ab:temp","ERY:11C","ALL:19C",0,-0.848075212376957,-7.55435308796429,5.85820266321037,1,"ns"
"32","ab:temp","ERY:11C","AZT:19C",0,0.501469010808322,-5.78957727667368,6.79251529829032,1,"ns"
"33","ab:temp","ERY:11C","ERY:19C",0,-1.6005329237997,-7.8915792112817,4.6905133636823,0.996,"ns"
"34","ab:temp","ERY:11C","NONE:19C",0,-2.14216041889853,-8.84843829448586,4.56411745668879,0.983,"ns"
"35","ab:temp","ERY:11C","SFX:19C",0,-1.04964684212244,-7.34069312960444,5.24139944535956,1,"ns"
"36","ab:temp","NONE:11C","SFX:11C",0,9.07313778676625,1.13816279484416,17.0081127786883,0.0152,"*"
"37","ab:temp","NONE:11C","ALL:19C",0,4.55980681502492,-2.78655252368909,11.9061661537389,0.533,"ns"
"38","ab:temp","NONE:11C","AZT:19C",0,5.9093510382102,-1.0600173679052,12.8787194443256,0.153,"ns"
"39","ab:temp","NONE:11C","ERY:19C",0,3.80734910360218,-3.16201930251322,10.7767175097176,0.695,"ns"
"40","ab:temp","NONE:11C","NONE:19C",0,3.26572160850334,-4.08063773021066,10.6120809472174,0.877,"ns"
"41","ab:temp","NONE:11C","SFX:19C",0,4.35823518527944,-2.61113322083596,11.3276035913948,0.523,"ns"
"42","ab:temp","SFX:11C","ALL:19C",0,-4.51333097174133,-12.4483059636634,3.42164402018076,0.647,"ns"
"43","ab:temp","SFX:11C","AZT:19C",0,-3.16378674855605,-10.7510740483146,4.42350055120253,0.912,"ns"
"44","ab:temp","SFX:11C","ERY:19C",0,-5.26578868316407,-12.8530759829227,2.32149861659451,0.381,"ns"
"45","ab:temp","SFX:11C","NONE:19C",0,-5.8074161782629,-13.742391170185,2.12755881365918,0.312,"ns"
"46","ab:temp","SFX:11C","SFX:19C",0,-4.71490260148681,-12.3021899012454,2.87238469827177,0.532,"ns"
"47","ab:temp","ALL:19C","AZT:19C",0,1.34954422318528,-5.61982418293012,8.31891262930068,1,"ns"
"48","ab:temp","ALL:19C","ERY:19C",0,-0.752457711422744,-7.72182611753814,6.21691069469265,1,"ns"
"49","ab:temp","ALL:19C","NONE:19C",0,-1.29408520652158,-8.64044454523559,6.05227413219243,1,"ns"
"50","ab:temp","ALL:19C","SFX:19C",0,-0.20157162974548,-7.17094003586088,6.76779677636992,1,"ns"
"51","ab:temp","AZT:19C","ERY:19C",0,-2.10200193460802,-8.67278548200999,4.46878161279395,0.982,"ns"
"52","ab:temp","AZT:19C","NONE:19C",0,-2.64362942970686,-9.61299783582225,4.32573897640854,0.948,"ns"
"53","ab:temp","AZT:19C","SFX:19C",0,-1.55111585293076,-8.12189940033273,5.01966769447121,0.998,"ns"
"54","ab:temp","ERY:19C","NONE:19C",0,-0.541627495098834,-7.51099590121423,6.42774091101656,1,"ns"
"55","ab:temp","ERY:19C","SFX:19C",0,0.550886081677263,-6.01989746572471,7.12166962907923,1,"ns"
"56","ab:temp","NONE:19C","SFX:19C",0,1.0925135767761,-5.8768548293393,8.0618819828915,1,"ns"
