"","term","group1","group2","null.value","estimate","conf.low","conf.high","p.adj","p.adj.signif"
"1","ab_trt","NONE","AZT",0,-14.3541666666666,-22.3541370476019,-6.35419628573139,1.51e-05,"****"
"2","ab_trt","NONE","ERY",0,-1.35416666666667,-9.35413704760191,6.64580371426856,0.99,"ns"
"3","ab_trt","NONE","SFX",0,-14.875,-22.8749703809352,-6.87502961906472,6.54e-06,"****"
"4","ab_trt","NONE","ALL",0,-20.8541666666667,-28.8541370476019,-12.8541962857314,9.89e-11,"****"
"5","ab_trt","AZT","ERY",0,13,5.00002961906472,20.9999703809352,0.000119,"***"
"6","ab_trt","AZT","SFX",0,-0.520833333333329,-8.52080371426856,7.47913704760191,1,"ns"
"7","ab_trt","AZT","ALL",0,-6.50000000000002,-14.4999703809353,1.49997038093521,0.171,"ns"
"8","ab_trt","ERY","SFX",0,-13.5208333333333,-21.5208037142685,-5.52086295239805,5.5e-05,"****"
"9","ab_trt","ERY","ALL",0,-19.5,-27.4999703809352,-11.5000296190647,1.52e-09,"****"
"10","ab_trt","SFX","ALL",0,-5.97916666666669,-13.9791370476019,2.02080371426854,0.244,"ns"
